id;place;points;link;jhi_table;jhi_table_content_type
1;68522;71539;разобрать;../fake-data/blob/hipster.png;image/png
2;54114;67767;application Inverse;../fake-data/blob/hipster.png;image/png
3;69657;10446;clear-thinking Генеральный Robust;../fake-data/blob/hipster.png;image/png
4;66871;79632;impactful оранжевый AGP;../fake-data/blob/hipster.png;image/png
5;41323;95032;игры withdrawal;../fake-data/blob/hipster.png;image/png
6;89561;99788;Investment зеленый;../fake-data/blob/hipster.png;image/png
7;52926;49794;разбор;../fake-data/blob/hipster.png;image/png
8;88204;22181;redefine Bedfordshire;../fake-data/blob/hipster.png;image/png
9;26322;89456;ввести обувь;../fake-data/blob/hipster.png;image/png
10;17668;18693;Клатч Глобальный красно-коричневый;../fake-data/blob/hipster.png;image/png
